model,seed,condition,coverage,selective_error,accuracy,unsupported_release_rate,n,n_accepted,locked_threshold,validation_coverage
random_forest,45,gaussian_noise_0.2,0.6578947368421053,0.013333333333333334,0.9649122807017544,0.008771929824561403,114,75,0.97,0.6754385964912281
random_forest,45,random_missingness_10%,0.6052631578947368,0.014492753623188406,0.9473684210526315,0.008771929824561403,114,69,0.97,0.6754385964912281
random_forest,45,random_missingness_20%,0.43859649122807015,0.02,0.9649122807017544,0.008771929824561403,114,50,0.97,0.6754385964912281
random_forest,46,clean_test,0.6929824561403509,0.0,0.9210526315789473,0.0,114,79,0.97,0.7894736842105263
random_forest,46,gaussian_noise_0.1,0.6666666666666666,0.0,0.9210526315789473,0.0,114,76,0.97,0.7894736842105263
random_forest,46,gaussian_noise_0.2,0.5614035087719298,0.0,0.9473684210526315,0.0,114,64,0.97,0.7894736842105263
random_forest,46,random_missingness_10%,0.4824561403508772,0.0,0.9385964912280702,0.0,114,55,0.97,0.7894736842105263
random_forest,46,random_missingness_20%,0.40350877192982454,0.0,0.9473684210526315,0.0,114,46,0.97,0.7894736842105263
random_forest,47,clean_test,0.6842105263157895,0.01282051282051282,0.9736842105263158,0.008771929824561403,114,78,0.97,0.7017543859649122
random_forest,47,gaussian_noise_0.1,0.6491228070175439,0.013513513513513514,0.9649122807017544,0.008771929824561403,114,74,0.97,0.7017543859649122
random_forest,47,gaussian_noise_0.2,0.5964912280701754,0.014705882352941176,0.9649122807017544,0.008771929824561403,114,68,0.97,0.7017543859649122
random_forest,47,random_missingness_10%,0.49122807017543857,0.0,0.9649122807017544,0.0,114,56,0.97,0.7017543859649122
random_forest,47,random_missingness_20%,0.40350877192982454,0.043478260869565216,0.9385964912280702,0.017543859649122806,114,46,0.97,0.7017543859649122
random_forest,48,clean_test,0.7543859649122807,0.0,0.956140350877193,0.0,114,86,0.95,0.7807017543859649
random_forest,48,gaussian_noise_0.1,0.7368421052631579,0.0,0.9385964912280702,0.0,114,84,0.95,0.7807017543859649
random_forest,48,gaussian_noise_0.2,0.7017543859649122,0.0,0.9736842105263158,0.0,114,80,0.95,0.7807017543859649
random_forest,48,random_missingness_10%,0.6929824561403509,0.0,0.9473684210526315,0.0,114,79,0.95,0.7807017543859649
random_forest,48,random_missingness_20%,0.6228070175438597,0.0,0.9473684210526315,0.0,114,71,0.95,0.7807017543859649
random_forest,49,clean_test,0.7807017543859649,0.0,0.9736842105263158,0.0,114,89,0.95,0.6929824561403509
random_forest,49,gaussian_noise_0.1,0.7631578947368421,0.0,0.9736842105263158,0.0,114,87,0.95,0.6929824561403509
random_forest,49,gaussian_noise_0.2,0.7280701754385965,0.0,0.9649122807017544,0.0,114,83,0.95,0.6929824561403509
random_forest,49,random_missingness_10%,0.6140350877192983,0.0,0.9649122807017544,0.0,114,70,0.95,0.6929824561403509
random_forest,49,random_missingness_20%,0.4649122807017544,0.0,0.9736842105263158,0.0,114,53,0.95,0.6929824561403509
